,subjID,gender,age,correct,RT,MT,sideCorrect,sideResp,condition,block,ratioSm,ratioLg,ratioDist,L_num,L_den,R_num,R_den,ratioNum,order,trial,experiment
124,RA1,1,,0.0,805.0,241.0,2.0,1.0,Incongruent,50,0.4,0.6,200.0,10.0,25.0,9.0,15.0,0.9,9050,124,disc
125,RA1,1,,1.0,720.0,280.0,2.0,2.0,Congruent,50,0.13,0.33,200.0,4.0,30.0,8.0,24.0,0.5,9050,125,disc
126,RA1,1,,1.0,652.0,341.0,2.0,2.0,Congruent,50,0.5,0.7,200.0,7.0,14.0,14.0,20.0,0.5,9050,126,disc
127,RA1,1,,1.0,1101.0,200.0,1.0,1.0,Congruent,50,0.2,0.5,300.0,11.0,22.0,5.0,25.0,0.45,9050,127,disc
128,RA1,1,,0.0,781.0,582.0,2.0,1.0,Incongruent,50,0.4,0.7,300.0,10.0,25.0,7.0,10.0,0.7,9050,128,disc
129,RA1,1,,0.0,631.0,242.0,1.0,2.0,Incongruent,50,0.63,0.83,200.0,10.0,12.0,19.0,30.0,0.53,9050,129,disc
130,RA1,1,,1.0,729.0,300.0,2.0,2.0,Congruent,50,0.3,0.5,200.0,3.0,10.0,9.0,18.0,0.33,9050,130,disc
131,RA1,1,,0.0,788.0,201.0,2.0,1.0,Incongruent,50,0.5,0.8,300.0,8.0,16.0,4.0,5.0,0.5,9050,131,disc
132,RA1,1,,1.0,568.0,320.0,2.0,2.0,Congruent,50,0.5,0.7,200.0,11.0,22.0,21.0,30.0,0.52,9050,132,disc
133,RA1,1,,0.0,616.0,321.0,1.0,2.0,Incongruent,50,0.4,0.5,100.0,7.0,14.0,10.0,25.0,0.7,9050,133,disc
134,RA1,1,,0.0,678.0,320.0,2.0,1.0,Incongruent,50,0.4,0.7,300.0,12.0,30.0,7.0,10.0,0.58,9050,134,disc
135,RA1,1,,1.0,1103.0,301.0,2.0,2.0,Incongruent,50,0.2,0.5,300.0,2.0,10.0,1.0,2.0,0.5,9050,135,disc
136,RA1,1,,1.0,1199.0,201.0,2.0,2.0,Incongruent,50,0.3,0.5,200.0,9.0,30.0,8.0,16.0,0.89,9050,136,disc
137,RA1,1,,1.0,1415.0,1161.0,1.0,1.0,Congruent,50,0.63,0.83,200.0,20.0,24.0,19.0,30.0,0.95,9050,137,disc
138,RA1,1,,1.0,1155.0,502.0,2.0,2.0,Incongruent,50,0.47,0.67,200.0,7.0,15.0,4.0,6.0,0.57,9050,138,disc
139,RA1,1,,1.0,1187.0,281.0,1.0,1.0,Congruent,50,0.3,0.5,200.0,11.0,22.0,9.0,30.0,0.82,9050,139,disc
140,RA1,1,,1.0,951.0,258.0,2.0,2.0,Incongruent,50,0.47,0.67,200.0,14.0,30.0,6.0,9.0,0.43,9050,140,disc
141,RA1,1,,1.0,1113.0,281.0,1.0,1.0,Incongruent,50,0.5,0.8,300.0,4.0,5.0,16.0,32.0,0.25,9050,141,disc
142,RA1,1,,1.0,1184.0,241.0,2.0,2.0,Congruent,50,0.67,0.77,100.0,12.0,18.0,23.0,30.0,0.52,9050,142,disc
143,RA1,1,,0.0,863.0,321.0,1.0,2.0,Congruent,50,0.6,0.8,200.0,8.0,10.0,3.0,5.0,0.38,9050,143,disc
144,RA1,1,,1.0,962.0,298.0,1.0,1.0,Incongruent,50,0.5,0.8,300.0,8.0,10.0,11.0,22.0,0.73,9050,144,disc
145,RA1,1,,1.0,946.0,201.0,2.0,2.0,Incongruent,50,0.4,0.6,200.0,10.0,25.0,9.0,15.0,0.9,9050,145,disc
146,RA1,1,,1.0,722.0,280.0,2.0,2.0,Incongruent,50,0.2,0.5,300.0,4.0,20.0,3.0,6.0,0.75,9050,146,disc
147,RA1,1,,1.0,995.0,280.0,2.0,2.0,Incongruent,50,0.5,0.6,100.0,11.0,22.0,9.0,15.0,0.82,9050,147,disc
148,RA1,1,,1.0,864.0,400.0,1.0,1.0,Congruent,50,0.5,0.8,300.0,20.0,25.0,4.0,8.0,0.2,9050,148,disc
149,RA1,1,,0.0,1062.0,460.0,1.0,2.0,Congruent,50,0.5,0.8,300.0,24.0,30.0,1.0,2.0,0.04,9050,149,disc
150,RA1,1,,1.0,1001.0,1001.0,1.0,1.0,Congruent,50,0.5,0.8,300.0,24.0,30.0,1.0,2.0,0.04,9050,150,disc
151,RA1,1,,1.0,995.0,300.0,2.0,2.0,Congruent,50,0.5,0.6,100.0,16.0,32.0,18.0,30.0,0.89,9050,151,disc
